月份,項目,金額,數量,比率,來源,單位,客戶,耗時分鐘
2026/6/24,中段,52.98,221,4.29,待確認,資材,順發,137
6月26日,後段,43.53,,8.67,待確認,研發,永利,51
0618,中段,59.8,71,45.52,待確認,製造,永利,234
0604,中段,35.04,1,45.98,,製造,捷欣,219
0727,完成,52.48,,59.89,已回報,資材,力鋼,11
0618,後段,8.82,140,88.8,,製造,永利,104
2026/6/6,前段,57.59,,15.1,,品保,大宏,174
6月1日,後段,54.74,,72.16,已回報,營運,東昇,105
2026/7/2,完成,9.41,27,16.33,已回報,營運,捷欣,161
7月2日,前段,37.0,,28.5,,研發,永利,45
0610,完成,20.62,131,59.82,,資材,順發,222
0715,前段,16.25,48,27.9,待確認,營運,順發,202
6月25日,後段,26.92,200,24.5,已回報,製造,大宏,157
0729,中段,96.27,87,96.94,,品保,順發,54
0614,完成,50.31,78,35.23,,品保,順發,37
2026/6/14,完成,20.08,24,93.68,,營運,大宏,35
0616,中段,94.05,178,71.46,,製造,大宏,28
2026/7/28,完成,19.05,132,6.45,已回報,製造,捷欣,220
2026/7/19,後段,21.13,,18.14,已回報,製造,捷欣,17
2026/6/8,前段,26.96,,56.01,,製造,順發,235
6月20日,前段,71.49,,29.76,,品保,捷欣,212
7月12日,前段,96.12,,67.58,已回報,製造,永利,150
0604,中段,70.67,,80.85,,品保,順發,62
6月16日,前段,82.83,146,28.56,待確認,研發,力鋼,168
0712,前段,82.01,157,12.75,已回報,製造,力鋼,101
2026/6/25,完成,84.32,194,59.0,已回報,營運,力鋼,58
0704,後段,83.58,179,55.04,,製造,大宏,218
7月11日,後段,95.86,37,87.35,已回報,品保,順發,141
2026/7/19,中段,36.98,120,46.78,,品保,大宏,45
0601,完成,73.01,,52.47,,研發,永利,185
0615,前段,27.5,123,52.53,,營運,力鋼,184
2026/6/9,前段,90.52,,12.83,,研發,大宏,141
0620,完成,41.46,,11.21,,研發,東昇,192
2026/6/3,中段,18.68,,31.24,已回報,資材,順發,173
7月14日,前段,30.73,138,52.63,待確認,研發,捷欣,34
2026/6/15,完成,92.76,25,16.77,,品保,力鋼,51
7月5日,前段,76.8,22,44.26,待確認,營運,捷欣,240
7月30日,完成,57.97,,64.36,,營運,力鋼,146
2026/6/4,中段,19.78,158,57.63,,品保,順發,78
2026/7/9,中段,80.09,141,62.52,待確認,營運,永利,21
6月25日,前段,29.74,92,11.48,,研發,順發,136
0629,前段,59.8,46,96.21,待確認,研發,捷欣,126
0621,前段,96.16,,83.21,已回報,研發,捷欣,85
0602,前段,37.92,147,84.02,待確認,營運,力鋼,106
2026/7/17,後段,55.24,42,94.08,,研發,捷欣,29
2026/6/29,後段,45.66,128,61.75,已回報,製造,順發,109
6月18日,中段,89.09,28,51.81,待確認,研發,力鋼,144
2026/6/19,中段,55.86,185,26.83,,製造,東昇,210
0626,完成,36.66,,90.58,,製造,東昇,65
2026/6/2,中段,62.53,,5.98,待確認,資材,大宏,230
2026/6/25,後段,60.46,,37.96,,製造,大宏,91
2026/6/3,前段,74.1,,80.05,,資材,東昇,94
7月22日,完成,48.56,200,20.4,,品保,永利,72
0703,中段,81.78,175,26.97,已回報,製造,大宏,138
6月25日,完成,67.32,112,88.16,,研發,順發,166
2026/7/8,完成,32.15,,10.83,,營運,永利,78
6月19日,完成,21.02,109,61.26,,品保,捷欣,87
0603,完成,29.87,59,70.65,已回報,資材,永利,146
2026/6/22,完成,14.06,217,30.41,已回報,研發,大宏,186
7月9日,完成,18.02,13,84.93,,製造,捷欣,240
2026/7/4,中段,36.44,,92.27,,營運,順發,207
7月29日,完成,90.25,,53.47,,研發,力鋼,156
0623,後段,63.75,5,57.76,,營運,永利,63
6月5日,前段,87.98,1,8.06,,營運,力鋼,184
7月13日,前段,62.13,44,49.92,,資材,順發,45
0722,中段,63.83,123,5.3,已回報,品保,東昇,20
6月20日,前段,74.29,,17.41,待確認,營運,捷欣,166
7月16日,前段,67.92,164,65.46,待確認,營運,永利,68
0630,中段,41.93,,47.24,,營運,順發,212
2026/7/15,前段,41.65,137,76.58,,營運,大宏,92
2026/6/29,前段,76.47,65,43.46,,資材,大宏,97
0628,完成,33.6,122,54.18,,製造,捷欣,163
0606,前段,68.01,162,86.67,,營運,順發,236
7月22日,前段,80.49,,53.6,待確認,品保,捷欣,64
6月5日,前段,55.08,,16.27,,製造,力鋼,237
6月28日,後段,93.11,,20.47,,製造,力鋼,148
2026/6/30,中段,71.24,43,62.95,,營運,大宏,110
7月4日,前段,89.32,,28.8,,製造,順發,138
2026/6/27,前段,47.71,84,92.53,已回報,研發,大宏,226
0602,中段,37.07,228,36.47,,資材,順發,79
7月11日,中段,6.45,167,8.11,已回報,研發,捷欣,37
2026/7/4,後段,24.74,115,22.66,,品保,捷欣,204
0619,後段,66.85,,24.79,,營運,捷欣,6
7月29日,完成,17.96,,62.41,,研發,東昇,89
2026/7/21,完成,7.44,,57.45,待確認,製造,力鋼,64
0629,完成,25.5,54,18.04,待確認,研發,東昇,55
2026/7/24,完成,13.2,,36.1,待確認,品保,東昇,139
6月21日,前段,89.37,,1.81,,製造,順發,33
2026/6/8,後段,61.08,40,46.25,,營運,力鋼,43
2026/6/24,完成,20.99,169,38.18,,品保,大宏,59
2026/7/1,前段,84.59,148,39.25,已回報,營運,捷欣,76
0614,前段,2.81,,19.18,已回報,資材,捷欣,18
7月27日,後段,46.62,8,60.68,,研發,力鋼,212
7月27日,後段,66.8,183,90.84,待確認,研發,大宏,181
6月28日,前段,13.65,55,88.85,,營運,大宏,177
2026/7/8,完成,0.68,18,77.35,,資材,順發,3
2026/7/15,前段,94.66,,77.1,待確認,研發,大宏,236
2026/6/21,後段,85.39,217,1.78,,資材,永利,185
2026/7/10,完成,63.06,37,35.25,,資材,順發,171
0622,中段,39.42,92,92.53,,品保,大宏,28
7月21日,完成,81.85,67,59.5,已回報,資材,順發,136
0725,完成,91.05,200,54.51,待確認,製造,永利,159
6月3日,後段,70.98,77,2.36,,研發,東昇,3
7月21日,中段,72.44,,2.98,待確認,研發,永利,209
6月23日,完成,15.15,137,33.33,,資材,永利,204
0601,前段,4.33,28,89.25,已回報,製造,東昇,95
0724,中段,68.82,134,17.89,,製造,東昇,142
2026/6/21,中段,74.22,190,81.71,已回報,製造,力鋼,119
2026/7/1,前段,28.1,51,76.16,,製造,永利,144
2026/6/14,完成,32.65,145,5.12,已回報,研發,東昇,155
0719,後段,20.74,19,10.53,,製造,力鋼,236
0625,中段,80.69,26,20.43,,研發,捷欣,106
2026/7/7,後段,47.0,,93.86,,製造,大宏,213
2026/7/11,前段,55.32,112,79.53,,研發,大宏,50
2026/6/11,後段,42.59,78,77.63,,製造,東昇,107
2026/6/23,前段,64.37,,22.22,已回報,資材,大宏,146
7月29日,後段,28.1,87,64.22,,品保,力鋼,187
2026/7/9,前段,23.88,,39.44,,資材,東昇,82
0614,前段,76.09,229,17.95,待確認,品保,東昇,146
2026/7/21,前段,3.91,48,49.36,待確認,製造,順發,111
2026/6/25,後段,75.28,42,4.3,,製造,東昇,229
6月25日,後段,95.05,55,27.4,,製造,永利,56
7月28日,完成,34.64,222,71.47,,資材,力鋼,86
6月2日,後段,71.6,78,85.24,待確認,製造,力鋼,92
0619,前段,78.27,,23.31,,營運,東昇,50
7月1日,後段,93.79,,15.81,,資材,東昇,128
7月26日,完成,0.93,,48.94,,資材,順發,240
7月28日,完成,89.16,,22.68,,營運,東昇,110
2026/7/8,中段,29.82,195,51.01,,研發,大宏,214
6月17日,中段,40.44,187,17.64,,研發,順發,1
2026/7/29,完成,18.36,,53.87,已回報,資材,大宏,180
6月27日,後段,76.94,191,55.9,,品保,力鋼,141
7月20日,後段,20.55,,55.25,,研發,捷欣,224
0723,前段,2.61,56,74.74,,研發,永利,197
7月24日,前段,28.32,30,58.1,,研發,永利,139
2026/6/7,完成,42.73,153,8.79,已回報,品保,大宏,92
6月7日,後段,61.06,220,92.39,,製造,順發,100
0716,後段,49.57,157,85.77,,製造,順發,84
0719,完成,41.48,191,1.61,待確認,研發,捷欣,69
2026/7/26,中段,25.15,42,4.8,已回報,製造,永利,134
2026/6/14,前段,67.8,,35.14,,營運,永利,129
0713,前段,88.31,225,32.41,,營運,東昇,208
0627,後段,31.19,93,0.27,待確認,營運,東昇,52
6月27日,完成,6.78,,13.25,,營運,東昇,44
2026/6/30,完成,25.82,200,44.14,已回報,研發,永利,70
0717,後段,30.33,3,82.78,,製造,東昇,44
2026/7/2,中段,82.48,64,58.47,,資材,捷欣,84
6月16日,後段,87.85,3,62.1,待確認,製造,大宏,170
7月18日,前段,95.96,,53.62,,營運,永利,220
0708,後段,52.81,,31.37,已回報,營運,大宏,189
7月26日,後段,87.93,153,58.07,,製造,大宏,232
0612,完成,56.23,12,36.66,待確認,研發,力鋼,71
0706,中段,40.62,40,31.94,已回報,營運,東昇,25
0602,前段,40.86,155,86.1,待確認,研發,力鋼,68
0614,中段,36.24,158,71.01,,資材,大宏,48
0613,後段,9.52,,2.49,待確認,營運,順發,232
0722,後段,68.84,,36.7,已回報,製造,大宏,49
6月23日,完成,34.29,36,91.86,,品保,力鋼,189
0623,前段,15.16,,73.97,,品保,永利,220
6月22日,完成,97.67,168,46.0,已回報,製造,永利,11
2026/7/6,完成,20.73,41,96.74,待確認,資材,大宏,81
6月7日,前段,55.04,202,57.55,,研發,順發,19
0712,中段,21.7,127,15.48,已回報,營運,大宏,61
2026/6/19,中段,85.78,226,47.48,待確認,資材,大宏,62
0624,後段,85.73,67,94.47,待確認,品保,力鋼,155
0728,後段,67.45,52,92.53,,研發,捷欣,21
0704,中段,13.21,,65.41,,品保,順發,150
0627,前段,58.65,,15.34,,研發,捷欣,91
2026/7/1,後段,42.76,83,71.85,,品保,順發,91
6月7日,完成,48.37,39,73.56,,營運,順發,194
0609,後段,53.86,,92.0,,研發,大宏,144
2026/7/7,中段,6.76,168,26.13,,品保,順發,11
6月2日,中段,74.39,212,54.53,已回報,製造,大宏,88
6月27日,前段,4.34,235,53.27,,研發,永利,75
0607,後段,85.53,200,13.73,已回報,製造,永利,26
0611,完成,20.71,,29.08,已回報,營運,東昇,207
2026/7/20,中段,67.62,103,22.29,,資材,力鋼,67
0620,後段,16.56,64,16.53,待確認,研發,順發,28
0601,後段,58.97,143,65.39,,營運,力鋼,123
6月24日,後段,65.04,69,97.34,,研發,順發,79
7月14日,後段,68.36,,5.72,已回報,資材,力鋼,205
6月15日,完成,68.27,,7.78,已回報,品保,永利,2
0613,後段,24.69,,56.35,,營運,順發,206
0706,中段,83.25,,49.71,已回報,研發,順發,106
6月17日,中段,69.61,123,62.38,,營運,大宏,99
7月9日,後段,7.0,37,30.67,,營運,力鋼,32
0621,完成,63.62,63,32.16,待確認,製造,永利,125
2026/6/18,前段,34.61,,18.9,待確認,製造,大宏,80
2026/6/24,中段,29.75,,71.17,已回報,研發,順發,83
0606,前段,56.62,16,63.82,,品保,捷欣,159
6月13日,中段,44.8,,48.67,,資材,大宏,118
0630,完成,38.51,153,40.43,,營運,東昇,71
2026/6/3,前段,74.1,,80.05,,資材,東昇,94
0716,中段,9.58,132,4.1,待確認,資材,大宏,133
0706,完成,11.52,212,27.47,,營運,永利,169
2026/6/2,中段,29.52,,34.46,,資材,永利,116
0627,中段,93.7,,18.5,,營運,捷欣,135
2026/6/11,後段,81.97,134,35.21,,製造,順發,72
2026/7/28,中段,94.12,191,74.93,已回報,資材,力鋼,92
6月11日,前段,36.08,238,48.56,待確認,製造,東昇,125
2026/7/17,中段,97.75,114,47.43,,營運,永利,93
6月1日,後段,13.78,,76.59,已回報,營運,永利,231
2026/6/24,完成,28.03,,35.51,,營運,力鋼,27
6月29日,完成,94.63,,7.78,,營運,順發,135
0621,前段,60.84,180,34.4,待確認,研發,捷欣,15
7月9日,後段,97.85,146,59.93,,資材,捷欣,48
2026/7/27,完成,80.76,,62.21,,資材,力鋼,41
7月10日,前段,23.14,,52.08,,資材,大宏,41
2026/6/8,中段,4.46,182,76.32,,研發,東昇,130
2026/6/25,中段,29.64,10,45.01,,製造,大宏,16
6月21日,後段,8.74,119,29.81,待確認,品保,東昇,126
2026/6/27,後段,35.64,221,14.49,已回報,資材,大宏,41
7月1日,後段,52.53,,13.85,待確認,製造,順發,35
2026/6/27,完成,95.09,131,13.26,,營運,永利,34
2026/6/9,完成,90.72,,55.45,,資材,大宏,236
2026/6/23,前段,96.52,218,92.0,,營運,捷欣,51
6月25日,完成,21.96,195,76.86,待確認,品保,大宏,76
2026/7/22,完成,54.62,,43.45,,品保,永利,18
7月7日,後段,40.79,199,73.82,,營運,力鋼,145
7月17日,完成,74.2,53,5.86,,資材,順發,136
7月7日,前段,42.81,112,24.11,待確認,營運,捷欣,183
0620,前段,85.79,38,4.65,已回報,營運,永利,190
0618,完成,11.45,,0.54,,品保,順發,121
0612,後段,58.06,221,9.02,待確認,品保,大宏,26
2026/6/11,中段,83.96,168,2.88,,營運,大宏,214
2026/6/29,後段,81.38,4,55.17,待確認,資材,永利,222
0607,完成,95.48,,71.01,,營運,大宏,147
2026/6/28,前段,41.54,98,18.47,,營運,大宏,225
2026/6/22,後段,35.25,,28.22,,營運,東昇,232
7月3日,前段,34.07,204,33.25,,品保,大宏,160
2026/6/17,完成,75.58,24,48.53,已回報,研發,力鋼,27
0728,中段,89.05,,41.31,,製造,順發,67
2026/6/11,完成,85.25,,7.78,待確認,製造,東昇,54
7月26日,前段,78.25,,56.63,,資材,永利,81
6月7日,中段,73.42,194,26.38,,製造,東昇,61
0713,後段,33.67,,25.12,已回報,資材,永利,70
0719,中段,48.12,206,32.62,,製造,捷欣,184
0712,中段,39.26,29,25.59,待確認,研發,捷欣,30
6月1日,後段,92.19,180,49.95,,品保,捷欣,103
2026/7/1,中段,61.27,16,64.99,,資材,永利,122
7月12日,後段,94.79,,59.89,已回報,營運,捷欣,95
2026/7/27,後段,44.96,56,12.17,,營運,永利,59
0629,後段,74.04,231,32.29,,資材,捷欣,206
7月19日,中段,72.72,194,27.67,待確認,資材,永利,198
2026/7/14,完成,1.04,89,11.44,待確認,製造,順發,166
0712,前段,84.74,,47.94,待確認,品保,永利,205
6月10日,完成,36.75,171,3.43,,研發,永利,40
7月27日,後段,65.33,,48.63,,營運,永利,105
0624,中段,43.14,,44.22,待確認,研發,大宏,16
2026/7/9,後段,4.67,175,10.07,待確認,製造,順發,71
7月19日,後段,34.18,210,79.6,已回報,研發,力鋼,86
0727,完成,47.62,146,41.88,,營運,大宏,156
0708,中段,84.74,82,64.18,待確認,研發,永利,179
2026/6/19,前段,75.61,106,75.25,,營運,永利,70
7月12日,中段,91.52,69,36.32,,品保,力鋼,50
0618,中段,73.23,133,63.14,,資材,東昇,237
6月26日,前段,60.3,112,25.72,待確認,研發,大宏,22
6月23日,完成,93.68,105,62.97,,營運,順發,30
0724,完成,20.3,92,0.83,,營運,永利,194
0718,前段,2.0,,32.02,,研發,東昇,100
2026/6/15,後段,84.75,,35.94,待確認,資材,東昇,131
2026/6/11,後段,3.32,195,54.94,,資材,大宏,126
0606,前段,59.46,,80.36,,製造,大宏,3
2026/7/20,後段,13.16,,29.22,待確認,研發,力鋼,137
2026/7/26,中段,35.67,41,47.48,,品保,東昇,78
6月7日,中段,54.91,233,27.26,待確認,製造,東昇,237
2026/6/22,前段,14.96,94,90.35,,研發,永利,49
0723,前段,8716.0,,59.76,,研發,捷欣,30
2026/6/28,完成,68.03,153,20.41,待確認,研發,大宏,161
0615,中段,97.1,24,52.2,已回報,研發,捷欣,177
0724,後段,66.48,,9.25,,品保,大宏,41
2026/7/9,前段,44.64,13,24.49,已回報,製造,順發,201
0622,前段,79.29,168,31.02,,製造,順發,81
2026/7/14,中段,97.78,,34.59,已回報,研發,力鋼,133
7月22日,完成,96.28,,81.0,待確認,研發,大宏,169
0722,完成,41.82,,20.35,,研發,東昇,150
2026/7/13,完成,57.58,57,6.85,已回報,資材,力鋼,62
6月24日,中段,25.92,142,36.66,,營運,大宏,136
2026/7/3,前段,9.69,233,97.67,,製造,大宏,84
6月27日,完成,59.39,31,8.13,,製造,大宏,100
0610,後段,45.39,19,64.08,,資材,大宏,225
7月11日,前段,2.74,186,97.5,待確認,資材,永利,235
2026/6/22,完成,58.59,,2.17,,品保,東昇,98
0617,中段,97.47,,41.23,,製造,順發,130
0707,中段,38.56,183,41.66,,營運,順發,41
0601,完成,0.56,106,36.26,,營運,捷欣,108
2026/6/22,後段,22.51,,35.31,,製造,力鋼,8
0618,後段,4.05,126,95.22,已回報,研發,東昇,165
7月27日,後段,55.6,127,45.63,,資材,東昇,7
0719,完成,72.59,121,45.67,,研發,東昇,187
7月4日,前段,29.89,121,71.85,,品保,力鋼,5
2026/7/14,後段,89.66,,63.19,待確認,品保,東昇,230
6月19日,完成,93.87,165,90.0,待確認,製造,大宏,47
6月1日,中段,70.14,236,51.34,,製造,順發,87
0722,前段,36.22,,23.34,,研發,大宏,52
2026/7/30,完成,90.75,127,55.96,,研發,東昇,12
2026/7/9,中段,12.39,,65.98,,營運,順發,30
0715,完成,76.04,135,77.75,已回報,品保,順發,107
2026/6/9,前段,16.54,117,24.78,,資材,捷欣,193
6月15日,前段,66.46,,42.16,已回報,製造,捷欣,107
2026/7/14,後段,79.67,,10.92,,營運,永利,231
6月15日,前段,57.77,,81.5,已回報,資材,大宏,26
0715,前段,13.15,91,57.11,,營運,大宏,138
2026/6/16,完成,32.99,,30.56,待確認,品保,力鋼,25
0722,後段,74.07,186,12.21,,研發,力鋼,87
6月12日,後段,10.13,,93.36,,製造,力鋼,89
6月27日,中段,37.04,18,2.31,待確認,品保,捷欣,64
0707,後段,94.56,80,42.52,,研發,力鋼,49
7月21日,完成,25.92,,19.45,,研發,永利,237
2026/7/9,後段,81.62,,84.88,,營運,順發,166
0611,前段,34.62,88,67.45,,資材,永利,190
0723,後段,16.77,60,43.6,,品保,東昇,39
2026/7/3,中段,26.74,,87.79,待確認,營運,永利,148
7月25日,中段,1.18,55,83.2,,製造,捷欣,183
0729,後段,20.56,60,48.33,已回報,製造,大宏,173
7月24日,前段,59.99,64,9.8,待確認,營運,捷欣,155
6月14日,完成,33.51,185,84.15,,品保,永利,100
6月10日,完成,72.5,182,39.66,待確認,營運,捷欣,62
7月14日,完成,30.67,16,94.0,,品保,順發,97
0626,後段,50.68,123,55.87,,製造,順發,206
2026/6/11,中段,8.7,,18.15,已回報,品保,力鋼,85
2026/7/2,後段,34.54,135,26.35,,資材,永利,124
2026/7/17,前段,56.24,171,54.85,,營運,大宏,185
0715,前段,56.4,,86.29,,資材,東昇,39
0630,後段,1.62,215,73.55,,資材,順發,5
2026/7/19,中段,84.72,142,42.79,,研發,順發,160
6月1日,完成,76.34,143,77.6,已回報,製造,東昇,139
0716,後段,68.46,137,15.03,待確認,資材,永利,49
0612,後段,0.2,,62.79,,品保,力鋼,163
0630,後段,26.39,186,42.28,待確認,製造,力鋼,48
2026/7/15,完成,24.23,15,81.75,已回報,研發,東昇,202
7月24日,完成,10.82,,11.08,已回報,營運,東昇,158
2026/7/6,中段,36.32,179,88.5,,資材,東昇,225
0711,前段,5.64,83,55.45,已回報,製造,大宏,136
2026/6/19,中段,23.07,25,21.03,,資材,永利,4
0604,完成,70.69,,47.96,,研發,力鋼,173
2026/7/10,中段,25.04,34,73.91,,資材,順發,99
0708,後段,23.34,88,49.45,已回報,研發,東昇,12
2026/6/27,後段,89.56,99,9.74,,資材,順發,138
0618,前段,67.05,39,90.72,,品保,順發,11
2026/6/6,前段,83.63,80,86.89,,製造,捷欣,136
0603,後段,48.7,,7.49,,製造,永利,87
2026/6/22,中段,61.03,,13.49,,資材,捷欣,63
2026/6/9,中段,72.2,,58.17,待確認,製造,大宏,194
2026/6/10,完成,1021.0,185,20.78,,營運,力鋼,37
2026/7/1,後段,92.37,,42.0,,製造,東昇,94
0716,後段,70.27,,47.26,已回報,品保,力鋼,93
2026/7/7,後段,27.89,178,91.44,,研發,東昇,109
7月23日,中段,45.28,129,42.49,已回報,營運,大宏,39
0708,前段,81.55,96,59.78,,製造,順發,154
2026/7/26,完成,33.32,175,24.11,,營運,東昇,231
0716,前段,88.17,4,79.13,待確認,營運,力鋼,42
0605,中段,67.91,128,97.31,,資材,永利,199
6月21日,前段,86.24,94,34.84,,資材,永利,176
0629,後段,47.25,107,60.72,,營運,力鋼,220
2026/7/20,前段,26.01,,95.85,待確認,品保,捷欣,15
7月26日,前段,11.8,215,0.46,已回報,研發,力鋼,216
2026/6/9,中段,16.83,,67.37,待確認,營運,永利,231
6月26日,完成,80.05,187,39.23,待確認,品保,永利,66
7月22日,後段,9.3,,47.89,,營運,力鋼,123
2026/6/24,前段,53.64,,94.86,,品保,力鋼,53
2026/6/2,後段,60.69,,63.99,,製造,大宏,55
2026/7/18,完成,70.64,76,31.54,,研發,力鋼,4
0723,完成,78.69,206,63.02,,製造,東昇,222
2026/7/10,完成,64.62,224,36.64,,資材,捷欣,106
6月29日,前段,96.06,,15.62,,資材,東昇,60
0727,後段,64.4,42,24.83,待確認,研發,永利,15
0617,中段,87.58,229,24.81,,營運,大宏,204
2026/6/26,完成,35.29,210,91.54,已回報,資材,東昇,203
2026/6/26,後段,39.81,1,68.58,已回報,資材,力鋼,208
0616,前段,71.66,19,69.16,,製造,捷欣,199
0603,完成,88.71,130,80.67,待確認,營運,力鋼,185
6月17日,中段,41.44,,0.55,,營運,順發,2
7月13日,後段,50.55,101,74.32,已回報,營運,大宏,103
7月13日,前段,40.69,,32.76,,營運,東昇,156
0623,後段,41.33,76,39.44,,營運,捷欣,30
0704,前段,29.06,65,77.29,,營運,捷欣,13
0717,前段,57.3,128,57.61,已回報,資材,大宏,153
0728,後段,37.16,16,2.64,已回報,品保,捷欣,106
7月22日,中段,21.14,193,22.54,已回報,資材,永利,236
2026/7/13,完成,77.76,108,49.87,,研發,順發,184
2026/6/3,後段,59.24,53,96.33,已回報,營運,順發,66
2026/6/14,中段,61.91,89,5.34,待確認,營運,順發,103
2026/7/12,中段,90.38,152,20.5,待確認,製造,東昇,53
0607,後段,82.55,,63.2,,品保,東昇,37
2026/6/4,中段,5.71,140,45.45,已回報,研發,順發,104
2026/7/27,中段,6.09,118,77.92,,營運,永利,63
7月28日,前段,40.38,6,93.01,已回報,研發,順發,37
6月19日,中段,59.53,11,75.56,待確認,製造,捷欣,212
2026/7/13,完成,5.01,,71.1,已回報,製造,東昇,195
2026/7/1,後段,57.93,223,49.47,,製造,大宏,22
7月15日,前段,97.25,110,67.17,待確認,品保,大宏,160
7月23日,後段,10.46,143,43.11,已回報,研發,永利,34
0723,中段,59.68,,67.83,待確認,品保,力鋼,142
0624,中段,81.74,212,81.18,待確認,營運,捷欣,199
0610,完成,39.51,,80.93,待確認,資材,捷欣,120
7月15日,後段,7.93,38,54.21,,品保,東昇,238
0729,中段,50.67,42,13.49,,品保,捷欣,189
2026/7/12,完成,75.62,,3.31,,製造,順發,97
0630,前段,48.49,2,10.78,待確認,營運,永利,34
0621,前段,71.81,215,58.17,待確認,製造,力鋼,89
0726,完成,65.86,168,87.42,,資材,順發,192
0708,中段,97.23,102,89.97,,研發,捷欣,127
2026/7/17,前段,83.87,131,7.64,待確認,品保,順發,140
2026/6/6,完成,10.85,113,39.21,,研發,永利,111
2026/6/20,前段,17.31,112,41.28,,研發,東昇,169
2026/6/12,前段,82.34,,34.33,待確認,研發,東昇,229
2026/6/29,後段,68.4,,84.07,已回報,品保,捷欣,125
2026/6/6,中段,54.35,44,30.06,,營運,東昇,124
2026/6/21,前段,95.75,205,51.69,待確認,品保,大宏,87
6月23日,中段,1.57,,65.8,已回報,製造,捷欣,233
2026/7/4,後段,73.28,194,20.34,,品保,永利,81
2026/7/11,中段,57.77,,10.69,,營運,順發,118
7月15日,前段,87.39,,14.81,,資材,東昇,72
0722,前段,19.26,178,74.36,,營運,力鋼,133
7月5日,中段,26.88,69,22.37,,研發,力鋼,64
0615,中段,16.04,144,42.47,待確認,品保,大宏,5
0711,中段,94.34,100,35.44,,品保,力鋼,232
0722,中段,14.83,,58.92,待確認,品保,大宏,90
0718,後段,67.32,139,0.99,,研發,永利,111
2026/6/3,前段,65.56,115,43.19,,研發,捷欣,195
0624,完成,21.68,61,0.46,,營運,順發,8
7月24日,後段,93.36,124,17.28,,資材,捷欣,64
0722,完成,44.94,,47.55,待確認,品保,順發,161
6月27日,前段,36.45,14,1.99,,品保,東昇,216
6月8日,中段,4.91,78,30.05,待確認,研發,東昇,43
2026/6/29,中段,15.44,88,49.43,,資材,力鋼,50
6月21日,完成,86.16,66,88.8,,營運,大宏,172
2026/7/27,完成,79.83,147,30.65,,品保,力鋼,182
2026/6/28,中段,87.86,,35.75,已回報,品保,力鋼,54
6月25日,後段,53.58,145,12.53,,製造,永利,65
2026/7/16,完成,15.37,209,54.81,,營運,大宏,150
0703,完成,24.91,180,83.63,,資材,順發,60
7月21日,後段,45.71,124,37.1,,製造,順發,114
0711,前段,36.71,177,43.13,已回報,製造,東昇,43
0610,前段,23.59,231,80.86,待確認,營運,順發,208
7月18日,中段,78.86,219,21.68,,營運,大宏,91
6月8日,後段,15.81,,51.45,,營運,永利,22
6月26日,後段,54.99,216,92.15,待確認,品保,捷欣,142
2026/7/17,前段,75.03,,82.38,,品保,東昇,153
7月6日,後段,57.35,30,3.53,待確認,研發,大宏,74
2026/7/3,前段,84.76,26,9.32,,製造,大宏,40
7月9日,完成,16.06,219,15.72,,資材,力鋼,123
0703,前段,48.88,84,68.73,待確認,研發,大宏,224
2026/7/5,中段,51.32,122,6.05,,製造,大宏,41
6月9日,中段,0.6,195,57.63,,營運,捷欣,106
6月16日,中段,82.71,,42.25,,營運,永利,94
6月4日,中段,65.39,129,13.36,待確認,資材,捷欣,48
2026/6/5,後段,63.6,186,74.39,待確認,品保,順發,11
0615,中段,97.31,131,67.73,,品保,順發,33
2026/7/20,後段,90.67,104,24.95,,研發,順發,76
0722,完成,57.42,2,56.53,已回報,品保,力鋼,109
6月9日,前段,60.81,56,14.84,已回報,製造,力鋼,119
2026/7/23,完成,5.26,149,20.77,,研發,永利,167
2026/7/4,中段,0.22,,91.63,,製造,順發,49
2026/7/17,前段,13.14,,80.63,已回報,品保,永利,176
6月9日,完成,81.2,,23.74,,營運,力鋼,5
6月6日,完成,80.93,175,24.36,已回報,品保,力鋼,188
2026/7/14,中段,70.98,10,54.02,,研發,力鋼,56
2026/6/7,完成,5.16,,52.58,已回報,資材,捷欣,219
0607,前段,3.6,,67.4,待確認,品保,捷欣,154
7月2日,前段,58.6,3,43.15,,製造,捷欣,9
2026/7/24,中段,95.14,214,91.99,待確認,製造,永利,50
6月11日,後段,73.81,162,0.87,,製造,東昇,105
0729,後段,56.5,,31.75,已回報,研發,大宏,107
0706,中段,57.64,129,38.99,待確認,製造,東昇,74
0724,完成,90.93,,79.95,待確認,製造,大宏,137
2026/6/24,後段,91.56,213,74.13,,研發,力鋼,150
0621,後段,47.65,188,37.29,已回報,資材,順發,178
2026/7/8,中段,21.79,59,20.51,待確認,資材,大宏,129
7月6日,完成,84.59,,58.38,已回報,品保,永利,125
6月17日,前段,61.33,103,73.94,,品保,東昇,46
2026/6/22,前段,66.14,15,11.12,,研發,大宏,8
6月26日,中段,9.88,61,10.16,待確認,研發,永利,7
2026/7/10,中段,52.21,5,78.91,待確認,資材,永利,34
6月29日,完成,67.4,,31.35,,資材,永利,85
7月25日,完成,61.59,215,70.31,,資材,東昇,151
0715,完成,41.19,227,95.04,,品保,力鋼,171
2026/7/29,後段,20.55,174,96.93,,製造,大宏,3
0701,前段,93.96,224,9.91,待確認,品保,東昇,167
0616,完成,17.18,43,61.99,,研發,力鋼,215
6月27日,前段,28.36,10,89.5,,營運,東昇,190
2026/7/14,中段,76.09,143,96.59,,資材,捷欣,121
